date,price,production,exchange_rate,fuel_price,Poduction Cost (Rs/Hr),Tax rate
1/1/2000,26.94,1781.2,73.15,13.2,"12,500",15%
2/1/2000,25,1781.2,73.475,16.2,"13,200",15%
3/1/2000,23.09,1781.2,73.75,16.2,"14,000",15%
4/1/2000,22.13,1781.2,74.3,16.2,"11,500",15%
5/1/2000,21.71,1077.6,74.735,16.2,"12,000",15%
6/1/2000,21.2,1077.6,78.9,19.5,"13,500",15%
7/1/2000,20.61,1077.6,78.35,19.5,"14,200",15%
8/1/2000,21.68,1077.6,78.05,19.5,"13,700",15%
9/1/2000,22.56,1077.6,79.15,19.5,"12,800",15%
10/1/2000,22.18,1781.2,79.41,19.5,"13,400",15%
11/1/2000,24.16,1781.2,81.45,21.5,"14,100",15%
12/1/2000,25.36,1781.2,82.7,24.5,"13,600",15%
1/1/2001,26.3,1614,89.5,24.5,"8,250",15%
2/1/2001,26.62,1614,86.5,24.5,"8,500",15%
3/1/2001,25.27,1614,86.35,24.5,"8,750",15%
4/1/2001,25.19,1614,90.45,27.5,"9,000",15%
5/1/2001,25.59,1083,91.825,27.5,"9,250",15%
6/1/2001,25.47,1083,90.625,27.5,"9,500",15%
7/1/2001,26.08,1083,89.9,27.5,"9,750",15%
8/1/2001,26.61,1083,89.875,27.5,"10,000",15%
9/1/2001,26.81,1083,90.05,27.5,"10,250",15%
10/1/2001,26.96,1614,91.75,27.5,"10,500",15%
11/1/2001,28.57,1614,93.15,27.5,"10,750",15%
12/1/2001,31.05,1614,93,16.5,"11,000",15%
1/1/2002,33.52,1774.5,93.45,16.5,"12,345",15%
2/1/2002,34.74,1774.5,93.6,26,"13,567",15%
3/1/2002,31.38,1774.5,95.6,26,"15,789",15%
4/1/2002,28.8,1774.5,96.05,28,"17,012",15%
5/1/2002,29,1089.1,96.15,30,"18,234",15%
6/1/2002,28.95,1089.1,96.15,30.5,"19,456",15%
7/1/2002,28.59,1089.1,96.08,27.5,"20,678",15%
8/1/2002,28.21,1089.1,96.2,28,"21,899",15%
9/1/2002,28,1089.1,96.25,28.5,"23,120",15%
10/1/2002,28.34,1774.5,96.25,30,"24,342",15%
11/1/2002,28.74,1774.5,96.275,30,"25,564",15%
12/1/2002,29.3,1774.5,96.6,30,"26,786",15%
